Category,Title,Article,PageLink
国内,北関東は天気急変に注意 茨城県ではあられ降る,グノシー 2020/01/13 15:45 ウェザーニュース 昼間は穏やかに晴れていた関東各地ですが、午後になって北部で雲が広がってきました。異なる方向の風がぶつかることによって上昇気流が発生し、雲が発達しやすい状況になっているためです。 茨城県常陸大宮市では活発な雲が通過し、一時的にあられが降りました。 夕方以降は急な雷雨やあられに要注意 夕方から夜にかけては、さらに雨雲の発達が予想されます。 特に栃木県から茨城県では天気が急変して、雨が降り出す見込みです。局地的にはザっと強まったり、雷やあられを伴うおそれがありますので、ご注意ください。 参考資料など 写真：ウェザーリポート（ウェザーニュースアプリからの投稿） 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 週末は関東甲信で雪の可能性　センター試験初日　今後の情報に注意 成人の日は関東以西で青空　東京は三連休で一番暖かい 北陸から山陰で断続的に雨や雪　あられ、落雷にも要注意 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/aWKor
国内,電車内で女性の下半身触る 容疑で横浜の44歳男逮捕,グノシー 電車内で女性の下半身を触るなどしたとして、神奈川県警保土ケ谷署は１３日、同県迷惑行為防止条例違反の疑いで、横浜市戸塚区上矢部町の自称会社員、永海秀峰（しゅうほう）容疑者（４４）を逮捕した。容疑を認めている。 逮捕容疑は同日午前８時３５分ごろから約５分の間に、相鉄線二俣川駅から西谷駅までの間を走行中の電車内で、同市泉区の女性会社員（２５）の下半身を触るなどしたとしている。 目撃した乗客の男性（２４）が永海容疑者を西谷駅で現行犯逮捕し、その後、同署の署員に引き渡した。 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 山形県警警視、窃盗の現行犯で逮捕 鶴岡市職員、酒気帯びで現行犯逮捕 台風１９号“土のう”待たされ町長殴る 自称会社員の男逮捕 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/a0RHp
国内,「うっぷん晴らす」排泄物患者に ヘルパーの男逮捕,グノシー 動画を見る（元記事へ） 東京・台東区の病院で寝たきりの高齢の入院患者3人の衣服に自分の排泄（はいせつ）物を付けたとして、32歳のヘルパーの男が逮捕されました。 中村大介容疑者は先月、台東区の病院で70代から80代の男女の入院患者3人が着ている服に自分の排泄物を付けた偽計業務妨害の疑いが持たれています。警視庁によりますと、患者はいずれも寝たきりの状態で、おむつに排泄物が付いていないのに服が汚れていたことなどを病院側が不審に思い、警察署に相談したということです。中村容疑者は2017年3月からこの病院に派遣され、ヘルパーとして働いていました。取り調べに対し、中村容疑者は「ヘルパーの仕事が大変でストレスがたまり、うっぷんを晴らすためにやった」と容疑を認めています。 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/RiQMf
国内,週末は関東甲信で雪の可能性 センター試験初日 今後の情報に注意,グノシー 2020/01/13 14:58 ウェザーニュース 連休明けは数日おきに本州の南側を低気圧が通過する予想です。特に17日(金)から18日(土)にかけては低気圧が発達しながら進む予想で、太平洋側の広い範囲で雨や雪が降る見込みです。 大学入試センター試験初日の18日(土)は、関東甲信の内陸や東北南部で雪の降る可能性が高くなっています。 雪の範囲が拡大する心配も 18日(土)の主な地点の天気予報 今日13日(月)時点のウェザーニュースの予想では、甲信地方から東北南部で雪が降り、関東平野は雨に雪が混じる程度とみています。 ただ、世界各国の気象機関が計算しているシミュレーション結果を見ると、低気圧が発達することで寒気を強く引き込み、東京など首都圏の平野部で雪が降ることを示唆しているものもあります。 「南岸低気圧」と呼ばれるこの気圧配置の際は、わずかに低気圧の進路や風向きが変わっただけで雪か雨かが変化するため、随時新しい情報を確認するようにしてください。 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 成人の日は関東以西で青空　東京は三連休で一番暖かい 北陸から山陰で断続的に雨や雪　あられ、落雷にも要注意 今日13日(月)の天気　成人の日は北陸で雨 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/aP7aO
国内,2020年桜開花予想が発表されたよーっ！ 今年は例年より1週間早く3月19日から桜が咲き始める!?,グノシー 年が明けてからわずか9日後、日本気象株式会社が2020年桜開花予想を発表しました。もう桜の話か……そりゃ時が過ぎるのも早いわけだワ。 対象となるのは、北海道から鹿児島まで全国約1000カ所の桜の名所および各都市のソメイヨシノ。 予想によると、開花がスタートするのは2020年3月19日。場所は東京と高知と予想されていて、東京では平年より7日早い開花となるんですって！ 【全国的に開花は早め】 日本気象株式会社によると、今シーズンは暖冬・暖春の傾向にあり、高温の影響によって全国的に開花が早くなる見込みとのこと。東京と高知で開花して以降は、九州地方や東海地方でも開花しはじめるといいます。 【東京…どこまで早くなるんや…】 注目したいのは、他地域よりも早く開花するとされている東京。昨年2019年の開花は3月21日で平年より早かったのですが、今年はさらに2日も早まるというのだからビックリ！ 東京では2013年以降、平年より早い開花が続いているらしく、一体どこまで早くなってしまうのでしょうか。 なお満開を迎えるのは3月27日頃とのこと。この日はちょうど金曜日。予想のどおりとなれば、翌3月28日・29日とあわせて、お花見にベストな週末となりそうです。 【主要都市の開花時期は？】 そのほか全国主要都市の開花日は、福岡が3月20日頃、名古屋が3月21日頃、大阪が3月25日頃、仙台が4月7日頃、札幌が5月1日頃。 満開の時期は開花から4～9日後で、どの都市でも平年より早まると予想されています。 日本気象株式会社のホームページにより詳しく書かれているので、お花見の計画を立てる際にチェックしてみてはいかがでしょうか。 【予想が変わることもあるので気をつけて】 今回発表されたのはあくまでも1月9日時点での予想。この先のお天気次第で時期が変動する可能性も十分にあります。 続報を待ちつつ、お花見本番へ向けて徐々にボルテージを高めていきましょう！ 参照元：プレスリリース、日本気象株式会社執筆：田端あんじ (c)Pouch クリックしてスライドショーを表示 動画・画像が表示されていないときはこちらから 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 全国約1000カ所の桜の開花・満開日予想が発表されたよ！ 東京でお花見に適しているのは3月30日・31日!? あなたの地域の桜はいつごろ咲くかな？ 全国のソメイヨシノの開花予想が発表されたよ♪ 東京はいつもより早い3月22日ごろ！ 【もうすぐ春】2015年「桜の開花予想」が発表されたよ～！ 各地とも平年並み＆東京は3月26日頃 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/aeIom
国内,シンカリオン 超進化のペンライト応援上映,グノシー 劇場版「新幹線変形ロボ シンカリオン」の応援上映会が開催されました。（13日05:25） 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/aXtRf
国内,TGCしずおかに人気モデル集結,グノシー 東京ガールズコレクションが静岡で開催され、モデルや歌手など１００人以上が参加しました。（13日05:25） 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/R17NE
国内,韓国「BIGBANG」 元メンバーV.Iさんの逮捕状審査,グノシー 韓国の男性アイドルグループ「ＢＩＧＢＡＮＧ（ビッグバン）」の元メンバー、Ｖ．Ｉさんの売春あっせん疑惑などで、韓国の裁判所は検察が請求した逮捕状を発行するかどうかを決める審査を行っています。 １３日午前１０時過ぎ、「ＢＩＧＢＡＮＧ」の元メンバー、Ｖ．Ｉこと、イ・スンヒョンさんは報道陣の問いかけには答えず、ソウル中央地裁に入りました。 Ｖ．Ｉさんは、２０１５年に開いたクリスマスパーティーで、日本人投資家らに性的な接待を提供した疑いなどが持たれていて、韓国の検察は先週、売春あっせんや性暴力処罰法違反など、あわせて７つの容疑で逮捕状を請求しました。 韓国の裁判所は、去年５月、売春あっせん容疑などでのＶ．Ｉさんへの逮捕状の請求を棄却していますが、検察は常習賭博など容疑を追加して逮捕状を請求しています。 裁判所は、１３日中に逮捕状発行の可否を決定する見通しです。（13日13:30） 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/RhlOm
国内,「不幸な事故が起きてからでは遅いです」ヤマハが楽器ケースに人が入ることに異例の注意換気,"グノシー ヤマハ製管楽器の情報を発信する「ヤマハ・ウインドストリーム」公式ツイッターアカウントが異例の注意喚起ツイートを投稿して話題になっている。 1月11日、ヤマハ・ウインド・ストリームは「理由には触れません」とした上で、楽器ケースに人が入ることがネタにされている昨今のTwitter上の状況を指摘。 危険な事故につながる可能性を示唆し、そのような行為を控えるよう呼びかけた。 「【お願い】理由については触れませんが、大型の楽器ケースに人が入ることに関することをネタにしたツイートが多く散見されるようになってきました。不幸な事故が起きてからでは遅いですので、皆さんの周りでは実際にそのようなことをしない、させないように皆さんで注意し合ってください。」 https://twitter.com/Yamaha_Wind_jp/status/1215996768636194822 【お願い】理由については触れませんが、大型の楽器ケースに人が入ることに関することをネタにしたツイートが多く散見されるようになってきました。不幸な事故が起きてからでは遅いですので、皆さんの周りでは実際にそのようなことをしない、させないように皆さんで注意し合ってください。— ヤマハ・ウインドストリーム (@Yamaha_Wind_jp)January 11, 2020from Twitter 言わずもがなだがこのツイートは先日、前日産自動車会長のカルロス・ゴーン被告が楽器ケースに身を潜ませ関西国際空港からレバノンに逃亡した事件を念頭においたもの。 確かにゴーン被告が楽器ケースに身を潜めていたことは各メディアで多少のユーモアをまじえて報道される傾向にあった。報道を見た人がそれを真似してしまうような状況も醸成されていたように思う。 今回のヤマハ・ウインド・ストリームのツイートに対しTwitter上では大きな反響が起こっている。 「酸欠で旅立っても責任とれませんね」「外に留め金（ラッチ）のある冷蔵庫や今回問題になってる大型のケースに子供が入った事例が過去に何件かある。まずは勝手に中に入れる状態でこれらのケースを放置しない。子供に中に入って遊ばないようよく教える。」「ギブソンギターのハードケースでさえがっちり鍵かかるので空気穴を開けたとしても中から開けるのは不可能だから、今回みたいに確実に運んで開けてくれる人がいなければ死にますね。故意じゃなくても紛失されたらアウト。(ギターケースには入れないけど、大きい楽器もハードケースならそうでしょう)」「ネタ？　と思ってアカウントのTL辿りました。(本物でした。。)アマチュアオケやってた経験からですが、、たしかに、、面白がってやらかす人は出るかもですね。事故はホンの少しの遊び心から生まれる事もありますもの、ヤマハさんならではのtweetだと思いました。」「あくまで自己責任とはいえ目的外の使用は絶対に行うべきではありません。それが非合法な手段であればなおさらです。でも、この行為は音楽を奏でる楽器に対する冒涜と思います。どんな理由があったにせよ絶対に許されないことだと思います。」 ゴーン被告自身はスパイ映画の主人公にでもなったような気分で楽器ケースに身を潜めたのかもしれないが、ネタにされるヤマハなど楽器メーカーにとっては迷惑でしかない。いろんな意味で自己中心的な騒々しい人物であることだ。 ※画像はTwitter(@Yamaha_Wind_jp)から引用しました (執筆者: 中将タカノリ) ―― 面白い未来、探求メディア 『ガジェット通信(GetNews)』 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.",https://gunosy.com/articles/R8oXV
国内,香川県のスマホ禁止条例は現代の「赤旗法」,グノシー 香川県議会が子供たちのスマホ使用を制限する条例を制定しようとしている（参照：朝日新聞）。 蒸気を動力とする蒸気自動車が利用され始めたのは1830年前後である。しかし乗合馬車事業者の反発や市街地での騒音・ばい煙などが重なり、英国議会は1865年に『赤旗法（Red Flag Act）』を成立させた。市街地2マイル・郊外4マイル/時を最高速度とし、日中は赤旗・夜間は赤ランタンを持つ先導員が蒸気自動車の前方60ヤードを歩くように義務付けた。 The Ethical Nagより 赤旗法は研究者の意欲を削ぎ、自動車開発の主導権は英国から米国に移っていった。同法の廃止には1896年までかかったが、すでに遅し。自動車産業を大変革したT型フォードは1908年に発売され、それ以降、英国に主導権が戻ることはなかった。 香川県の条例案は、18歳未満の子どものスマホやパソコン、ゲーム機の使用を平日60分、休日90分までに制限し、中学生以下は午後9時まで、高校生は午後10時までに使用をやめさせると規定する。 この条例に実効性を持たせるために、本家赤旗法と同様に、県議会議員が各家庭を回り制限を超えて使用している子どもたちの前で赤旗を振ったらどうか。 自動車が普及した要因の一つは教育である。自動車交通が社会にもたらす利益は小学校の社会科で学習する。一方、保育園・幼稚園や小学校では交通安全教室が実施され、運転免許を取得する際にも交通規制について学ぶ。こうして、自動車の利益と危害を人々は理解しているので、自動車は社会で広く利用されているし、自動車がなければ現代社会は成立しない。 同様に、スマホの価値を学校で教える必要がある。スマホは世界につながる「どこでもドア」で、多様な情報を取得し発信できる。国籍や人種を超えて多くの人々とコミュニケーションするのにも利用できる。一方で、見ず知らずの人に誘い出されれば命の危険が襲うし、悪口を流せば友人の心に傷がつく。通常の生活リズムが大きく乱れる、依存症が発症する恐れもある。 スマホなしでは現代社会は成立しない。だから、子どもたちに教えなければならないのは、スマホの利益と危害である。スマホに対する恐怖心が先行して利用規制をしようというのは、赤旗法の教訓に学ばない愚かな政治である。 ■ 事情は人工知能（AI）も同様である。AIに対する警戒を解く言説にも赤旗法のにおいがプンプンする。まずはAIの限界を知る必要がある。AI応用の一つに自動走行車があるが、フルに活用する時代にはまだ遠い。このことを学ぶために情報通信政策フォーラムでは1月21日にセミナーを開催する。 — 山田 肇  情報通信政策フォーラム（ICPF）理事長／東洋大学名誉教授 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 通信放送行政はなぜ総務省なのか 中野区議会各会派に「公開質問状」を送付しました 台湾総統選にも影…世界はネット諜報戦時代に突入した --- 本元 勝 最近人気のあったニュース 松本人志がゴーン被告を批判、会見は「宮迫と同じ」 お徳用いりこの袋にフグが混入と話題に 「法律違反で絶対に食べないように」 衛星写真で判明、「79万年前の巨大隕石」が生んだクレーター 【鹿児島】「逆あおり運転だ」高速道路を時速4kmでノロノロ走行する車が物議！追い抜いたら逆上してきた！ 父親の服で警察官装い 高2少年を“詐欺未遂”で逮捕 中学教師 スーパーの駐車場から軽自動車盗む 群馬 舛添前都知事 ゴーン被告会見を評価も「誤算があった」 「河野太郎、頑張ります！」河野防衛大臣が自衛隊のパラシュート降下訓練に参加！民間出身として初の参加で話題に 「お客様は神様ではありません！」 タピオカ・クレープ店の宣言に反響 高速道で超低速運転 突然、急加速し「あおり運転」 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/RPhYs
