Category,Title,Article,PageLink
海外,イランで反政府デモ続く 警察の“発砲”映像拡散,グノシー 動画を見る（元記事へ） イランではウクライナの旅客機を撃墜したことに対し、政府に抗議するデモが続いています。 デモは11日から首都テヘランで始まり、ロイター通信は3日連続となる13日もデモが行われた模様だと報じています。イランの国内からネットに投稿された映像では13日、テヘランの大学で参加者らが「優秀な人々を殺して聖職者で取って代わろうとしている」などと抗議の声を上げていたということです。撃墜された飛行機には世界のトップレベルの大学に通う学生らが乗っていました。また、警察がデモ参加者に発砲したとする映像がネットで拡散していますが、イランの警察は国営テレビで発砲を否定する声明を発表しています。 （C）　CABLE NEWS NETWORK 2020 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/RFlbe
海外,【今日の1枚】砂漠に一筆書き、二輪で疾走,グノシー ダカールラリー第2ステージで、サウジアラビアのアル・ワジュとネオム間を疾走するホンダのリッキー・ブラベック（2020年1月6日撮影）。 【AFP＝時事】ダカールラリー第2ステージで、サウジアラビアのアル・ワジュとネオム間を疾走するホンダのリッキー・ブラベック（米国）。【翻訳編集】AFPBB News 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 動画：ダカールラリー、2020年からサウジアラビア開催 中東初 【特集】白黒写真で見るダカールラリー2019 ダカールラリーで選手の死亡事故、40歳のポルトガル人ライダー 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/acSSX
海外,中国で謎のウイルス性肺炎が流行 もうすぐ延べ30憶人が大移動する春節到来、日本は大丈夫か,グノシー 中国の武漢市内で謎のウイルス性肺炎が流行している。患者41人を武漢市衛生健康委員会は確認、うち1人が死亡、7人が重症という。現地メディアは「新型のコロナウイルスを検出した」と報じ、死亡患者がよく出入りしていた市場は閉鎖された。 きのう13日（2020年1月）にはタイに武漢市から観光で訪れた中国人女性が新型コロナウイルスに感染していたとタイ保健省が発表。タイ政府は空港に特殊カメラを置いて武漢市からの到着客の体温をチェックしていた。この女性は空港で高熱を発し、病院に搬送された。 「うがいや手洗いを怠らないように」 動物を介しての感染らしく、WHO（世界保健機関）によると、人から人への感染はまだ確認されていない。ただ、中国は１月下旬、延べ30億人が大移動する春節が始まる。 カズレーザー（芸人）「日本に昨年（2019年）72万人が訪れました」 山﨑夕貴アナウンサー「心配ですね」 川越救急クリニックの上原淳院長は「それほど恐れる必要はないが、人から人への感染を起こす突然変異の可能性もあるので、うがいや手洗いを怠らないように」と注意を呼びかける。 キャスターの伊藤利尋「冷静に、正しく怖がらないといけないということですね」 司会の小倉智昭「SARS（重症急性呼吸器症候群）のときは、東南アジア中心に大騒ぎした。コウモリが原因とかいわれた。油断してはいけない」 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 耳が聞こえない女性客に居酒屋店員が神対応　小旗とメモ用紙を用意、「本当にうれしかった」と感謝 イラン軍が撃墜？テヘラン離陸直後に墜落のウクライナ旅客機―米軍の襲来と勘違い 住友重機「組合専従の60歳女性」6億4000万円着服！競走馬や競技馬を次々購入 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/RhHxE
海外,日本人のストレスは巨大！ 「我が国の公務員のようにぼんやりと過ごすなど不可能」=中国,グノシー 日本人のストレスは巨大！　「我が国の公務員のようにぼんやりと過ごすなど不可能」＝中国 現代では多くの人が仕事や学業などで大きなストレスを感じていると言えるだろう。だが、中国人からすれば日本人は「特に大きなストレスを抱えている」と映るようだ。中国メディアの新浪は９日、「日本人が抱えるストレスは非常に大きく、中国の公務員のようにぼんやりと日々を過ごすことなど絶対にできない」と論じる記事を掲載した。 近年、中国人の生活は豊かになり、大量生産と大量消費が見れられる一方で、記事は「大型ショッピングセンターは閑散とし、街中では高級品を扱う店が開店しては１年も持たずに新しい店へと移り変わる」という状況がみられると指摘。逆に、食品を扱うスーパーマーケットには絶えず人が溢れているが、それは「中国人の高級品を買う意欲が低迷しているからだ」と主張した。 さらに、中国人の多くは「家と新車のローンというストレスを抱えている」と指摘する一方、中国社会は失業率が高くて雇用は安定せず、確実な投資先も無いゆえに、収入にあわせて消費を抑えざるを得なくなっている」と主張。それゆえ高級品を買わず、スーパーで好きな物を買って日々を過ごせれば、それで満足を感じるようになってきたと指摘し、こうした傾向は日本でも見られるとは言え、日本人はもっと大きなストレスを抱えていると主張した。 続けて、中国よりも少子高齢化が進む日本は労働力不足が問題となっているように、仕事自体が無くなる心配はないと指摘する一方、日本人が「有名大学を経て大企業の正社員となるには厳しい競争があり、諦めて中小企業に就職しても、会社のために尽くし、社内の競争に勝ち残るために絶えず気を抜くことはできない」と紹介。 中国では最初の競争に打ち勝って公務員にさえなれれば、定年までぼんやり日々を過ごすことができるが、日本は就職後も続く熾烈な競争が続くため、収入や貯蓄があっても「結婚せずに家と会社とコンビニの往復しかしない人は珍しくない」と中国との違いを伝えた。（編集担当：村山健二）（イメージ写真提供：１２３ＲＦ） 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 退役した地下鉄車両ですら「再就職」する日本、なんて「日本人らしい考え方」＝中国 ロシア人も日本を訪れると「驚く」らしい、ロシア人の目に映った日本＝中国 日本旅行に「飽きる」わけない！　地域ごとに「違った魅力」があるんだもの＝中国 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/Rb0Mf
海外,茂木外相談話に中国が抗議 台湾・蔡総統再選に祝意―菅官房長官明かす,グノシー 台湾総統選での蔡英文総統の再選に祝意を表した茂木敏充外相の談話について、中国政府が日本政府に抗議していたことが分かった。菅義偉官房長官が１４日の記者会見で明らかにした。独立志向の強い民進党政権の継続に「一つの中国」原則を掲げる中国は神経をとがらせている。 茂木氏は１１日、蔡氏再選を受けて「民主的な選挙の円滑な実施と同氏の再選に祝意を表する」との談話を発表した。 菅氏は会見で「中国側の反応は承知しており、抗議があった」と述べた上で、台湾を「重要なパートナーで大切な友人」と位置付ける日本政府の立場を強調した。 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ イランの旅客機撃墜、透明な調査重視 菅官房長官 安倍首相、11日から中東歴訪 米イラン対立の緩和目指す IR・中東・憲法で論戦 通常国会20日召集を伝達-政府 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/awtcs
海外,「過剰な心配不要」 中国ウイルス性肺炎で厚労相,グノシー 加藤勝信厚生労働相は１４日の閣議後の記者会見で、中国湖北省武漢市で多発している原因不明のウイルス性肺炎について、「過剰に心配することなく、せきエチケットや手洗いなどインフルエンザと同様の感染対策に努めることが重要だ」と呼び掛けた。 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 来年度予算で閣僚折衝 診療報酬が焦点 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/RKjRe
海外,中国武漢市の新型コロナウイルス「初の死者」タイへの旅行者も感染,グノシー 画像は同じコロナウイルスの仲間のMERSの電子顕微鏡写真（米国立アレルギー感染症研究所NIAID） 中国湖北省武漢市で新型コロナウイルスによる肺炎患者があいついでいる問題で、同市衛生健康委員会は11日、入院治療中だった61歳の男性患者が死亡したと発表した。 また、タイ保健省は13日、バンコク近郊の国際空港に到着した中国人旅行者の女性から、新型コロナウイルスと同型のウイルスが検出されたと明らかにした。 春節目前 中国から大量の観光客が出国 タイ保健省の13日の会見（กระทรวงสาธารณสุข） 中国以外で初めて感染が確認されたのは、武漢市から観光で訪れた61歳の中国人女性。タイ保健省によると、この患者は今月8日に首都バンコク近郊のスワンナプール国際空港に到着後、38度以上の発熱や呼吸器疾患の症状がみられたため、搬送先の病院で検査を行った結果、武漢市で確認されたのと同じ新型コロナウイルスが検出された。 女性は回復に向かっており、帰国の準備が進められている。また、現時点で一緒にタイへ訪れた団体旅行客に同様の症状は確認されていないという。 初の死者 複数の患者が発生した武漢市の華南海鮮市場 武漢市健康衛生委員会の最新報告によると、同市では今月9日午後、入院中の61歳の男性患者が重度の肺炎と呼吸不全、敗血症性ショック、多臓器不全などにおちいって死亡した。男性は華南海鮮市場の出入りの業者で、肝臓病などの持病があったという。 同市では13日現在、41人から新型コロナウイルスの感染が確定していて、このうち7人が退院、6人が現在も危険な症状だという。患者と接触歴のある763人のうち、687人については医学的な観察を受けている。 中国では今月25日から1週間、旧正月にあたる春節の連休期間に入るため、30万人近い旅行者が日本をはじめとする海外に出国する。厚生労働省は現在、空港の検疫システムを強化し、武漢市からの帰国者や入国者に対して、大量不良がある場合は自己申告するよう呼びかけたり、サーモグラフィーなどを使って発熱などの症状がないかどうか確認を行っている。 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 【関連記事】春節目前…中国の謎の肺炎「新型コロナウイルス」か？日本の検疫体制は？(1月10日) 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/a0bNE
海外,東アジアに位置する日本とベトナム、似た条件の国でこれほど発展が異なるのはなぜ？=中国メディア,グノシー 東アジアに位置する日本とベトナム、似た条件の国でこれほど発展が異なるのはなぜ？＝中国メディア 日本とベトナムにはいくつかとても似ているところがある。環境面で似た条件を持つこの二つの国だが、経済発展については大きく異なっている。いったいなぜか。その理由について中国メディア歴史茶館が分析している。 そもそも、どんな点で日本とベトナムは似ているのか。まず日本には漢字があり、ベトナムでも以前は漢字が使用されていた。もちろんベトナムでは現在漢字は廃止されているが、毎年伝統的な祭りの際には中国で使用されている「福」（この字をわざと逆さまにしてドアに貼り付け、福が来ると縁起を担いでいる）を使用している。さらに、国土面積についても日本の国土面積は約３７７．９７３平方ｋｍ、ベトナムは３３１．２１０平方ｋｍと日本のほうが少し大きいぐらいだ。また人口については、日本は１．２４億人、ベトナムは９５５４万人と日本のほうが少し多い。 では、経済発展で差がついた理由はどこにあるのか。一つに、環境面ではどうか。日本は四季の季節の移ろいを楽しめ、土地、河川も整っている。さらに鉱物鉱床が豊富だ。また海洋資源にも恵まれており、魚も多い。日本にはたくさんの港があり、外向きの経済の発展にも貢献している。地理的にも優位であるため、日本経済も急速に発展してきた。 一方、日本は山地帯や地震帯が多く、災害も多い。この点、ベトナムは地質環境が比較的安定しており、鉱物資源も豊富で、火山や地震などの災害が少ない。しかし、ベトナムの海洋資源は少なく、亜熱帯気候で高温多湿だ。地理的にインドシナ半島の東部に位置し、北は中国に接し、東は南シナ海に接しているため、領海域は限られている。 こうした点をふまえ、結論として日本の方が地理的にも環境的にも有利な条件にあり、地政学的な条件が経済発展を促したと見ることができる。 こうした分析記事からも、似たような条件にありながら経済発展に差がある日本とベトナムについて、分析したいという意図を読み取れる。自国について分析するためにも、他国の歴史を分析する必要があるのは確かだ。一方、今後の経済発展が予想されるベトナムという国に中国が熱視線を送っているようにも読み取れる。（編集担当：時田瑞樹）（イメージ写真提供：１２３ＲＦ） 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 価格は中国の約４倍！　おいしい日本米の秘密とは？ 日本のラーメンがおいしすぎるのはなぜ？　中国でマネできる？ 日本がこんなにきれいなのはなぜ？　潔癖すぎ？ 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/agqiK
海外,日本も解決策提示を 徴用工、協議体への参加表明―韓国大統領,グノシー 韓国の文在寅大統領＝２０１９年１２月、中国四川省成都（ＥＰＡ時事） 【ソウル時事】韓国の文在寅大統領は１４日、ソウルの青瓦台（大統領府）で新年の記者会見を行い、元徴用工訴訟をめぐる問題の解決に向け、「日本も解決策を提示し、韓国と膝を突き合わせて（考えて）いくべきだ」と述べた。また、問題解決に向けては「被害者の同意」が必要との認識を改めて示した。 文氏は元徴用工問題の解決策について、「韓国政府は既に数回、提示した。立法府レベルでの努力もした」と強調した。その上で、原告側代理人が創設を提案した日韓両国関係者で解決策を議論する協議体に自らも参加する意向を表明。「韓国が提示した方策と日本が修正して提示する方策をめぐり、知恵を合わせていけば十分に解決できる余地がある」と語った。 文氏はまた、２０１５年末の慰安婦問題をめぐる日韓合意に触れ、「最も重要な部分は被害者の同意を得るための解決策作りだ」と主張。元徴用工らに配慮した解決策を日本政府が用意すれば、「両国間の解決策を作ることは難しくない」と指摘した。 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 迎賓館「みすぼらしい」＝正恩氏、低姿勢で応対－南北首脳会談 イラン、撃墜抗議デモ続く 3日連続で指導部批判 【ビジュアル解説】図で見る北朝鮮の情勢 ～ミサイル、外交など～ 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/amciO
海外,梶山経産相、米通商代表と会談 WTO改革で連携確認,グノシー 日米貿易相会談に出席した梶山弘志経済産業相（右）とライトハイザー米通商代表部（ＵＳＴＲ）代表＝１３日、ワシントン（経産省提供・時事） 【ワシントン時事】梶山弘志経済産業相は１３日、米通商代表部（ＵＳＴＲ）のライトハイザー代表とワシントンで会談した。機能不全に陥った世界貿易機関（ＷＴＯ）の改革について意見を交わしたほか、今月１日に発効した日米デジタル貿易協定を軸に、デジタル分野の国際的なルール作りで連携を強化することを確認した。 梶山氏の訪米は就任後初。会談では、中国を念頭に自国の特定産業を優遇する補助金など「不公正な貿易慣行」に対処するため、ＷＴＯのルール見直しを協議した。米中両国間でも未解決の補助金問題で中国をけん制する狙いがあり、日本、米国、欧州連合（ＥＵ）による貿易相会合を１４日に開く。 また、梶山氏はブルイエット米エネルギー長官とも会談し、米国とイランの対立で緊迫化した中東情勢を踏まえ、２０カ国・地域（Ｇ２０）や国際エネルギー機関（ＩＥＡ）など多国間の枠組みを通じて協力を深めることで一致した。液化天然ガス（ＬＮＧ）、原子力の分野での２国間協力を確認した。 元記事を読む この記事をお届けしたグノシーの最新ニュース情報を、いいねしてチェックしよう！ 円下落110円台、8カ月ぶり 東京市場 円小幅安、109円台半ば 東京市場 熱帯びる値引き合戦 牛肉など、日米協定発効で 最近人気のあったニュース 偽善者 国民の不幸を利用する文在寅の魂胆 台湾総統選「反中国派の圧勝」が、習近平と文在寅に与える大きな影響 まったく違う国と言っても過言ではない日本と中国、中国人から見た違いとは カップルがパタヤビーチで公然わいせつ 公開された男の写真も話題に 日本で暮らす中国人が増加中、「日本の何がそんなに魅力なのか」=中国メディア 一刻も早く安倍内閣を潰したがっているのは誰か／倉山満 価格は中国の約4倍！ おいしい日本米の秘密とは？=中国メディア 日本の農村には、中国の農村では当たり前のように落ちているものが見当たらない！ それは・・・=中国メディア 米イラン対立を注視か 司令官殺害に警戒も―北朝鮮 日中の「高速道路の料金」を比較すると、中国人が「幸せ」なことに気づく=中国 キーワードで気になるニュースを絞りこもう 「いいね」、フォローをしておすすめの記事をチェックしよう。 グノシーについて 公式SNS 関連サイト アプリをダウンロード グノシー | 情報を世界中の人に最適に届ける Copyright © Gunosy Inc. All rights reserved.,https://gunosy.com/articles/RA7oE
